fips,state,name,Life Expectancy,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,HIV Prevalence Rate,% Food Insecure,% Limited Access,% Insufficient Sleep,% Uninsured...56,% Uninsured...60,Household Income,% Free or Reduced Lunch,% Homeowners,% Severe Housing Cost Burden,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural
1001,Alabama,Autauga,76.3,13,13,14,226,13,12,36,11,2,58343,48,73,13,23.9,15.1,19.3,0.5,1.3,0.1,2.9,74.5,1,51.3,42
1003,Alabama,Baldwin,78.6,13,13,11,164,12,5,33,14,3,56607,45,73,13,21.8,19.9,9,0.8,1.2,0.1,4.6,83,0,51.5,42.3
1005,Alabama,Barbour,75.8,16,15,18,436,23,11,39,17,3,32490,74,63,14,20.8,18.8,47.9,0.7,0.5,0.2,4.2,46,1,47.2,67.8
1007,Alabama,Bibb,73.9,13,13,15,192,16,3,38,12,3,45795,65,75,9,20.6,16,21.5,0.4,0.2,0.1,2.6,74.3,0,46.5,68.4
1009,Alabama,Blount,74.6,14,14,14,95,11,3,36,16,3,48253,53,79,8,23.3,17.8,1.5,0.6,0.3,0.1,9.6,86.9,2,50.7,90
1011,Alabama,Bullock,73.1,17,15,20,691,26,20,45,18,3,29113,69,70,19,20.7,15.8,69.2,0.8,0.2,0.8,8.2,21.3,1,45.5,51.4
1013,Alabama,Butler,73.5,16,15,18,268,22,3,42,14,2,36842,79,70,11,22.7,19.6,44.6,0.4,1,0.1,1.4,51.6,1,53.4,71.2
1015,Alabama,Calhoun,73.1,13,14,16,211,17,9,41,14,2,45937,59,69,12,21.8,17.3,20.8,0.5,1,0.1,3.7,72.3,1,51.9,33.7
1017,Alabama,Chambers,74.1,15,15,17,367,20,10,37,14,2,36883,56,66,13,21.1,19.1,39.5,0.3,1.2,0,2.4,55.5,0,52.1,49.1
1019,Alabama,Cherokee,74.3,13,14,14,90,13,0,35,15,3,44842,64,78,10,19.7,22.6,4.2,0.6,0.3,0,1.6,91.7,0,50.3,85.7
1021,Alabama,Chilton,74.2,14,14,15,100,14,1,35,18,4,46405,64,75,12,23.9,16.4,10.1,0.5,0.5,0.2,7.8,80.2,2,50.8,86.7
1023,Alabama,Choctaw,74.3,15,14,16,220,21,7,38,14,3,36711,64,80,9,20.1,22.7,41.6,0.2,0.1,0,1,56.5,0,52.7,100
1025,Alabama,Clarke,75.9,16,15,19,162,24,11,41,15,3,36719,58,66,13,21.9,19.3,44.2,0.5,0.5,0,1.3,52.7,0,52.8,76
1027,Alabama,Clay,75.4,14,14,15,191,15,2,39,17,4,39642,60,76,9,20.6,20.2,13.8,0.6,0.2,0,3.1,80.5,0,51.1,100
1029,Alabama,Cleburne,73.6,13,14,13,111,14,2,34,15,3,45480,57,74,12,22.9,19.1,3.1,0.5,0.2,0.1,2.4,92.7,1,50.4,100
1031,Alabama,Coffee,77.2,14,13,15,143,15,6,37,14,3,51998,47,65,11,23.7,16.6,17.3,1.4,1.6,0.4,7.1,70.2,1,50.7,47.2
1033,Alabama,Colbert,74.9,13,13,18,93,15,7,37,12,3,46100,52,73,13,21,19.6,16.1,0.6,0.6,0.1,2.6,78.5,0,52,43.9
1035,Alabama,Conecuh,75,18,17,20,262,24,13,42,16,3,30796,61,78,12,21,21.9,46.2,0.5,0.2,0,2,49.9,0,52,80.9
1037,Alabama,Coosa,73.4,15,14,19,150,16,10,37,16,4,42442,68,80,12,16.4,22.8,30.2,0.6,0.1,0.2,2.4,65.8,1,49.8,100
1039,Alabama,Covington,74.2,14,14,15,170,16,4,36,16,3,39093,59,75,10,21.8,20.7,12.4,0.7,0.5,0,1.7,83.4,0,51.8,69.7
1041,Alabama,Crenshaw,74.8,14,14,16,198,17,17,38,15,3,38419,67,71,10,23.1,18.7,23.3,0.6,1.1,0,2.1,71.2,1,51.6,100
1043,Alabama,Cullman,74.7,14,14,16,76,12,3,35,17,3,45925,52,75,11,22.5,18.3,1.2,0.6,0.6,0.1,4.3,92.1,1,50.6,73.2
1045,Alabama,Dale,75.4,14,14,16,273,17,11,41,14,3,42572,63,60,13,23.1,16.3,20.4,0.9,1.4,0.2,6.5,68.6,1,50.7,50.9
1047,Alabama,Dallas,71.7,17,17,17,415,30,12,42,14,2,31329,71,59,18,24.3,17.3,70.1,0.3,0.5,0,1.1,27.3,0,53.9,45.6
1049,Alabama,DeKalb,74.2,15,14,12,77,12,2,36,22,4,39906,61,71,9,24.5,16.8,1.5,2,0.5,0.6,14.8,80.2,3,50.3,90.1
1051,Alabama,Elmore,76.1,13,13,15,229,14,7,38,11,2,59652,51,73,10,22.3,14.7,21.1,0.5,0.7,0.1,3,73.2,1,51.5,54.2
1053,Alabama,Escambia,72.9,15,15,18,226,20,7,40,17,3,37870,71,72,10,22.2,17.3,31.8,3.7,0.3,0.1,2.3,60.1,1,48.8,63.5
1055,Alabama,Etowah,73.1,15,15,15,187,15,9,41,15,3,41791,58,72,10,21.6,18.6,15.5,0.6,0.8,0.3,3.8,78,1,51.6,37.5
